phrase,n
ELIANE DRAPEAU ,1
ÉLIANE PERREAULT,1
ELIETTE JENNEAU ,1
ELIGIBLE CANADIAN CORPORATIONS,1
ELIMINATION OF ALL FORMS OF DISCRIMINATION AGAINST WOMEN,1
ELINOR CAPLAN,1
ELIO ,1
ELISABETH WEIGAND ,1
ELISE ,1
ÉLISE POISSON,1
ELISSA GOLBERG ,1
ELIZABETH,1
ELIZABETH  ,1
ELIZABETH ANN CARMICHAEL,1
ELIZABETH ANN MCFADYEN,1
ELIZABETH ANN RHEAUME,1
ELIZABETH ANNE,1
ELIZABETH ANNE GARLAND LEIGHTON,1
ELIZABETH ANSTIS,1
ÉLIZABETH BLAIS ,1
ELIZABETH BRUBAKER ,1
ELIZABETH CORMIER,1
ELIZABETH CUSSON,1
ELIZABETH DENHAM ,1
ELIZABETH DOWDESWELL,1
ELIZABETH DOWDESWELL ,1
ELIZABETH ELLEN ,1
ELIZABETH EVANS,1
ELIZABETH EVANS MAY,1
ELIZABETH FRANCES HORSEY,1
ELIZABETH GALATIUK ,1
ELIZABETH GILLIES SULEY ,1
ELIZABETH HAYES,1
ELIZABETH HUBLEY,1
ELIZABETH HUDSON,1
ELIZABETH JANE CROCKER,1
ELIZABETH JEAN DAIFALLAH ,1
ELIZABETH JOANNE SAJTOS ,1
ELIZABETH JOLLIMORE,1
ELIZABETH LOUISE ROBERTS,1
ELIZABETH MACPHERSON,1
ELIZABETH MARGARET STEWART,1
ELIZABETH MARGARET WISEMAN,1
ELIZABETH MARTHA HANSEN,1
ELIZABETH OSLER,1
ELIZABETH QUARSHIE ,1
ELIZABETH REID,1
ELIZABETH ROBERTS,1
ELIZABETH ROSE KIDDLE,1
ELIZABETH RUTCHINSKI,1
ELIZABETH SAVARD,1
ELIZABETH SAVARD MUIR,1
ELIZABETH SINCLAIR,1
ELIZABETH TRAINOR,1
ELIZABETH WALKER,1
ELIZABETH WALKER ,1
ELIZABETH WINIFRED WILSON,1
ELIZABETH WINNIFRED WILSON,1
ELKAS,1
ELKAS ,1
ELLA JACKSON ,1
ELLEN,1
ELLEN BARRY ,1
ELLEN FAHEY,1
ELLEN FRY,1
ELLEN FRY ,1
ELLEN IRENE PICARD ,1
ELLEN KERR,1
ELLEN MARIE DRIFT,1
ELLEN MCGREGOR ,1
ELLERKER,1
ELLIE,1
ELLIOT TEPPER,1
ELLIOTT                ,1
ELLIOTT CLINTON ERIC HAMES,1
ELLIOTT CLINTON ERIC HAMES ,1
ELLIS PRINGLE CRAIG,1
ELMAATI AND MUAYYED NUREDDIN,1
ELMER,1
ELMER EDWARD SMITH ,1
ELMER FRANK,1
ELMER VERNON EPP,1
ELMER VERNON EPP ,1
ELMIRA AND WOOLWICH CHAMBER OF COMMERCE ,1
ELMS,1
ELMVALE AND DISTRICT CHAMBER OF COMMERCE ,1
ELONA EWING ,1
ELSBETH ,1
ELSEVIER ,1
ELSEVIER INC,1
ELSIE ANN WAIN ,1
ELSIE MENEZES ,1
ELSIPOGTOG FIRST NATION ,1
ELSIPOGTOG FIRST NATION AS SOEGAO INDIAN RESERVE ,1
ELSON ,1
ELSPETH ,1
ELSY JETTY CHAKKALAKAL ,1
ELVIN PETER BLOCK,1
ELVIRA SANCHEZ ,1
ELVIRA SÀNCHEZ DE MALICKI ,1
ELWAIN,1
ELWOOD ,1
ELWYN,1
ELYSE ALLAN ,1
ELZÉAR ,1
EMANUEL SONNENSCHEIN,1
EMANUELE ,1
EMBASSY OF THE STATE OF KUWAIT,1
EMBODYING THE RESULTS OF THE URUGUAY ROUND OF MULTILATERAL TRADE,1
EMBRUN,1
EMBURY,1
EMBURY ,1
ÉMÉLIE,1
EMERGENCY BIG GAME CROP DAMAGE COMPENSATION PROGRAM,1
EMERGENCY MANAGEMENT ACT ,1
EMERGENCY MANAGEMENT COOPERATION,1
EMERGENCY MEDICAL SERVICES EXEMPLARY SERVICE,1
EMERGENCY MEDICAL SERVICES EXEMPLARY SERVICE MEDAL REGULATIONS,1
EMERGENCY MEDICAL SERVICES EXEMPLARY SERVICE MEDAL REGULATIONS ,1
EMERGENCY ORDER AMENDING THE EMERGENCY ORDER FOR THE PROTECTION OF THE GREATER SAGE,1
EMERGENCY ORDER FOR THE PROTECTION OF THE GREATER SAGE,1
EMERGENCY POSITION INDICATING BUOY REGULATIONS ,1
EMERGENCY PROTECTION ORDERS REGULATIONS ,1
EMERSON HAVELOCK,1
EMERY,1
EMES ,1
EMI,1
EMIGH ,1
EMILE JOSEPH LEGAULT ,1
ÉMILE LANTEIGNE,1
ÉMILE LANTEIGNE ,1
EMILE ULYSSES ,1
EMILIO FRANK RIGA ,1
EMILIO FRANK RIGATO ,1
EMILY BURKE,1
EMILY SUZANNE HOVELL ,1
EMISSION INVENTORY COOPERATION,1
EMISSION REGULATIONS ,1
EMISSIONS,1
EMITTING RADIOPHARMACEUTICALS ,1
EMLÚPS TE SECWÉPEMC ,1
EMLÚPS TE SECWÉPEMC  ,1
EMMANUEL KAMARIANAKIS ,1
EMMERSON,1
EMMY NIKOL REMISSION ORDER ,1
EMPHYTEUSIS ,1
EMPHYTEUTIC LEASE ,1
EMPIRE STEVEDORING COMPANY LIMITED ,1
EMPLOYEE BENEFIT NEWS CANADA,1
EMPLOYMENT EQUITY ,1
EMPLOYMENT EQUITY AWARD ,1
EMPLOYMENT EQUITY PROGRAMS EXCLUSION APPROVAL ORDER,1
EMPLOYMENT EQUITY PROGRAMS REGULATIONS,1
EMPLOYMENT EQUITY TRIBUNAL,1
EMPLOYMENT INSURANCE ACT ,1
EMPOWERING FIVE PERSONS TO ADMINISTER OATHS ,1
EMPOWERING SEVEN PERSONS TO ADMINISTER OATHS ,1
EMPOWERING THREE PERSONS ,1
EMPOWERING TWELVE PERSONS ,1
EN NATIONS BAND OF,1
ENBRIDGE BAKKEN PIPELINE COMPANY INC,1
ENBRIDGE NORTHERN GATEWAY PIPELINES PROJECT ,1
ENBRIDGE PIPELINES ,1
ENBRIDGE SOUTHERN LIGHTS GP ,1
ENCANA CORPORATION,1
ENCANA CORPORATION ,1
ENCINAS,1
ENCO GAS,1
ENCOGEN NORTHWEST,1
ENCOR INC,1
ENDEAVOUR HYDROTHERMAL VENTS MARINE PROTECTED AREA REGULATIONS ,1
ENDERBY ,1
ENDING THE LONG,1
ÉNERGIE,1
ÉNERGIE ET DE ,1
ENERGY BOARD PIPELINE CROSSING REGULATIONS,1
ENERGY CONSERVATION EQUIPMENT AND ALTERNATIVE ENERGY SOURCES,1
ENERGY EFFICIENCY ACT,1
ENERGY EFFICIENCY AND ALTERNATIVE ENERGY PROGRAM,1
ENERGY EFFICIENT LAMPS,1
ENERGY FOR PEACEFUL PURPOSES ,1
ENERGY INC,1
ENERGY INSTITUTE OF COUNTRIES USING FRENCH AS ,1
ENERGY MARKETING CANADA LTD,1
ENERGY MARKETING INC,1
ENERGY MONITORING REGULATIONS,1
ENERGY SAFETY AND SECURITY ACT,1
ENFORCED BY THE CANADIAN FOOD INSPECTION AGENCY,1
ENFORCED BY THE CANADIAN FOOD INSPECTION AGENCY ,1
ENFORCEMENT,1
ENFORCEMENT ,1
ENFORCEMENT OF THEIR COMPETITION LAWS,1
ENFORCEMENT SUB,1
ENGE,1
ENGELS ,1
ENGINE COOLANT,1
ENGINEERING CORPORATION ,1
ENGLISH RIVER FIRST,1
ENGLISH RIVER FIRST NATION BAND,1
ENGRAIS CHIMIQUE DE TAMATAVE ,1
ENHANCE VOICE AND PARTICIPATION IN THE INTERNATIONAL MONETARY FUND ,1
ENHANCED ALTITUDE ACCURACY ,1
ENHANCED CONTRIBUTION COMPANION PROGRAM,1
ENHANCED LABELLING FOR FOOD ALLERGEN AND GLUTEN SOURCES AND ADDED SULPHITES,1
ENHANCED LANGUAGE TRAINING INITIATIVE ,1
ENHANCED NEW VETERANS CHARTER ACT,1
ENHANCEMENT PROGRAM,1
ENHANCING ROYAL CANADIAN MOUNTED POLICE ACCOUNTABILITY ACT,1
ENNEH FIRST NATION,1
ENNS ,1
ENOCH BAND,1
ENOCH BAND ,1
ENOCH CREE,1
ENRICO ,1
ENRON GAS MARKETING INC,1
ENSURING SAFE VEHICLES IMPORTED FROM MEXICO FOR CANADIANS ACT,1
ENTERPRISE,1
ENTERPRISE CAP,1
ENTERPRISE CAPE,1
ENTERPRISE DEVELOPMENT REGULATIONS,1
ENTERPRISE DEVELOPMENT REGULATIONS ,1
ENTERPRISES DEVELOPMENT,1
ENTERPRISES FEES REGULATIONS ,1
ENTERPRISES INC,1
ENTERTAINMENT ,1
ENTERTAINMENT CANADA INC,1
ENTERTAINMENT INTERNATIONAL,1
ENTERTAINMENT LLC ,1
ENTERTAINMENT MEDIA ,1
ENTITIES,1
ENTITLEMENT TO PREFERENCE REGULATIONS ,1
ENTITY ASSOCIATED WITH ,1
ENTITY MEMBER OF GROUP REGULATIONS ,1
ENTREPRENEURSHIP AND HUMAN RESOURCE DEVELOPMENT,1
ENTREPRISE CAPE BRETON ,1
ENTREPRISE CAPE BRETON CORPORATION ,1
ENTREPRISES INC,1
ENTRY VISITOR VISA FEE ,1
ENVIRONMENT,1
ENVIRONMENT AND DEVELOPMENT,1
ENVIRONMENT AND THE ECONOMY ,1
ENVIRONMENTAL,1
ENVIRONMENTAL ,1
ENVIRONMENTAL ASSESSMENT AND REVIEW PROCESS GUIDELINES ORDER,1
ENVIRONMENTAL ASSESSMENT PROCEDURES AND REQUIREMENTS ,1
ENVIRONMENTAL ASSESSMENT REVIEW PANEL SERVICE CHARGES,1
ENVIRONMENTAL CODE OF PRACTICE ON HALONS,1
ENVIRONMENTAL COOPERATION IN ATLANTIC CANADA ,1
ENVIRONMENTAL COOPERATION IN THE NORTHWEST TERRITORIES ,1
ENVIRONMENTAL ENFORCEMENT ACT,1
ENVIRONMENTAL IMPACT REVIEW BOARD,1
ENVIRONMENTAL IMPACT REVIEW BOARD ,1
ENVIRONMENTAL IMPACT SCREENING COMMITTEE,1
ENVIRONMENTAL IMPACT SCREENING COMMITTEE ,1
ENVIRONMENTAL IMPROVEMENT ,1
ENVIRONMENTAL INSPECTIONS SUB,1
ENVIRONMENTAL OCCURRENCES NOTIFICATION AGREEMENT ,1
ENVIRONMENTAL OCCURRENCES NOTIFICATION AGREEMENTS ,1
ENVIRONMENTAL PROTECTION,1
ENVIRONMENTAL PROTECTION AGREEMENT ,1
ENVIRONMENTAL PROTECTION THROUGH ACTION UNDER CCPA,1
ENVIRONMENTAL PROTECTION TO THE ANTARCTIC TREATY,1
ENVIRONMENTAL RESPONSE ARRANGEMENTS REGULATIONS  ,1
ENVIRONMENTAL STANDARDS SUB,1
ENVIRONNEMENT DE LA FRANCOPHONIE PRIVILEGES AND IMMUNITIES ORDER ,1
ENVIROTRON,1
ENZO,1
ENZO MICHELE ,1
ÉPARGNE ET CRÉDIT ,1
EPF,1
EPHREM,1
ÉPIPHANIE,1
EPIRB ,1
EPP,1
EQUALIZATION OFFSET PAYMENTS REGULATIONS ,1
EQUIPMENT AND PARTS ,1
EQUIPMENT CERTIFICATION FEES REGULATIONS,1
EQUITY OF AN INSURANCE COMPANY OR INSURANCE HOLDING COMPANY REGULATIONS,1
EQUIVALENT COURSES ,1
ERAA,1
ÉRABLE,1
ÉRABLE ,1
ÉRABLES,1
ERAPS AND UPDATES TO SCHEDULES,1
ERIC,1
ERIC ANTHONY DENHOFF,1
ERIC DAHLBERG ,1
ERIC DORION ,1
ERIC DUPONT ,1
ERIC HANSEN ,1
ERIC IVAN STUBBS,1
ERIC JOHN HARRIS,1
ERIC JOSEPH BREWER,1
ERIC KENNETH JERRETT ,1
ERIC LEMIEUX,1
ÉRIC PLOURDE ,1
ÉRIC PRONOVOST ,1
ERIC RICHMOND ADUTWUM EFFAH,1
ERIC RICHMOND ADUTWUM EFFAH ,1
ERIC RUSSELL,1
ERIC SIEGEL,1
ERIC SIEGEL ,1
ERIC STEFANSON ,1
ERIC WALSH ,1
ERIC WHIST ,1
ERIC WILLIAM MATTSON,1
ERICK ROBERT OLES ,1
ERICKSON ,1
ERIK ,1
ERIKA KLYSZEJKO ,1
ERIKSEN ,1
ERIN ,1
ERIN JORDANA BAKER,1
ERITREA ,1
ERITREA AND BOTSWANA,1
ERLINDA ,1
ERMINESKIN TRIBE,1
ERNEST BOONE,1
ERNEST DRAPEAU ,1
ERNEST EDWARD HINKSON,1
ERNEST FRANCIS CORMIER,1
ERNEST JAMES CROSSLAND,1
ERNEST LAST ,1
ERNEST LOUKIDELIS,1
ERNEST LYNN,1
ERNEST PIERRE CHIASSON,1
ERNEST PIERRE CHIASSON ,1
ERNEST RICHARD HIGGS ,1
ERNEST WILLIAM ,1
ERNEST YEE ,1
ERROL MENDES ,1
ERROL WINDEL JOHNSON,1
ERS,1
ERWIN STACH,1
ERYTHRITOL,1
ERYTHROSINE,1
ESA HANNU EKDAHL ,1
ESAF,1
ESCAT ,1
ESGENOÔPETITJ INDIAN RESERVE ,1
ESKASONI,1
ESKASONI BAND ,1
ESKASONI BAND COUNCIL METHOD OF ELECTION REGULATIONS ,1
ESKASONI BAND OF INDIANS ,1
ESKASONI INDIAN RESERVE ,1
ESKIMO ECONOMIC DEVELOPMENT GUARANTEE ORDER ,1
ESMAIL BHARWANI,1
ESMERALDA ,1
ESMOND JARVIS ,1
ESOWISTA INDIAN RESERVE NO,1
ESPLANADE,1
ESQUIMALT,1
ESQUIMALT AND NANOOSE HARBOURS,1
ESQUIMALT BAND,1
ESQUIMALT BAND OF INDIANS ,1
ESQUIMALT HARBOUR ,1
ESRF ,1
ESSEX PARKWAY PROJECT,1
ESSEX REGIONAL CHAMBER OF COMMERCE,1
ESSEX TERMINAL RAILWAY COMPANY ,1
ESSO RESOURCES CANADA,1
ESSO RESOURCES CANADA LIMITED ,1
ESSR,1
EST ,1
EST DE,1
EST DE ,1
EST DE LA BEAUCE,1
EST DE PORTNEUF,1
ESTABLISH,1
ESTABLISHING THE ADVISORY CENTRE ON WTO LAW,1
ESTABLISHING THE MULTILATERAL INVESTMENT,1
ESTABLISHING TIMELINES FOR COMPREHENSIVE STUDIES REGULATIONS ,1
ESTABLISHMENT,1
ESTABLISHMENT IN CANADA ,1
ESTABLISHMENT LICENCES AND GOOD MANUFACTURING PRACTICES,1
ESTABLISHMENT OF THE,1
ESTABLISHMENT OF THE INTERNATIONAL NETWORK FOR BAMBOO AND RATTAN,1
ESTATE OF FLOYD VANDAELE REMISSION ORDER ,1
ESTATES OF KATHLEEN MCGOWAN AND WILLIAM ,1
ESTER GAMMAD ,1
ESTEVAN,1
ESTEY,1
ESTHER ,1
ESTMERE,1
ESTONIA ,1
ESTONIA CONCERNING YOUTH EXCHANGES,1
ESTONIA ON TRADE AND COMMERCE ,1
ESTUAIRE ,1
ET ,1
ET ASSOCIÉS ,1
ÉTANG,1
ETANG HARBOUR,1
ETBE,1
ETCHEMIN,1
ETHANOL ,1
ETHEL MARGARET DEWAR,1
ETHEL TEITELBAM,1
ETHEL TEITELBAUM,1
ETHICS COUNSELLOR ,1
ETHYL ALCOHOL,1
ETHYLENE,1
ETIENNE,1
ETIENNE BERNIER,1
ÉTIENNE PARENT ,1
ETINQOX,1
ETR,1
ETR ,1
EU ,1
EUDES DUBÉ,1
EUDES DUBÉ ,1
EUGÈNE BELLEMARE,1
EUGENE BURT,1
EUGENE FEDAK,1
EUGENE FLICHEL,1
EUGENE GARDNER NURSE ,1
EUGENE HSIAO YU KWAN ,1
EUGENE KWAN ,1
EUGENE MEEHAN,1
EUGENE NILES,1
EUGENE SKRIPKARIUK ,1
EUGENE STERLING LAVERS ,1
EUND,1
EUNICE ,1
EUNICE HARKER,1
EURATOM,1
EURO GRADING ,1
EUROPEAN ATOMIC ENERGY COMMUNITY ,1
EUROPEAN COMMUNITY AGREEMENT ,1
EUROPEAN COMMUNITY AGREEMENT ON SANITARY MEASURES TO PROTECT PUBLIC AND ANIMAL HEALTH IN RESPECT OF TRADE IN LIVE ANIMALS AND ANIMAL PRODUCTS,1
EUROPEAN COMMUNITY AND ITS MEMBER STATES,1
EUROPEAN EARTH WATCH PROGRAMME,1
EUROPEAN POLICE OFFICE,1
EUROPEAN PROGRAMME FOR LIFE AND PHYSICAL SCIENCES AND APPLICATIONS IN SPACE,1
EUROPEAN SECURITY AND DEFENCE POLICY SERVICE MEDAL,1
EUROPEAN SECURITY AND DEFENCE POLICY SERVICE MEDAL ,1
EUROPEAN SPACE EXPLORATION PROGRAMME ,1
EUROPEAN TRANSPORTATION AND HUMAN EXPLORATION PREPARATORY ACTIVITIES PROGRAMME,1
EUROPEAN UNION CRISIS MANAGEMENT OPERATIONS,1
EUROPEAN UNION ON CUSTOMS COOPERATION WITH RESPECT TO MATTERS RELATED TO SUPPLY,1
EUSC,1
EUSTAQUIO ,1
EVA ALEXIS PLUNKETT ,1
EVA ALLMEN,1
EVA FRANK ,1
EVA JANE POYTRESS,1
EVA LACHANCE CÔTÉ,1
EVA MAH BORSATO ,1
EVA MONIQUE RIEDWYL GLANZMANN ,1
EVA PETRAS ,1
EVA SARAH ADAMS,1
EVALUATION OF IMPAIRED OPERATION ,1
EVAN ,1
EVAN WARDEN ,1
EVARISTE CORMIER ,1
EVELEIGH ,1
EVELEYN,1
EVELYN,1
EVELYN ANNE CORKER ,1
EVELYN BOURASSA         ,1
EVENTS,1
EVERETT,1
EVERSON      ,1
EVERSONIC INC,1
EVERT LEWIS DIXON,1
EVOY,1
EWAN,1
EWAN ,1
EWASCHUK,1
EWERS,1
EX GRATIA PAYMENT PROGRAM,1
EX GRATIA PAYMENTS,1
EX GRATIA PAYMENTS TO VETERANS INVOLVED IN CHEMICAL WARFARE AGENT TESTING INTERPRETATION ,1
EXAMINATION REGULATIONS ,1
EXAMINERS OF ENGINEERS ,1
EXCEPTIONS AND EXECUTIVE COMMITTEE PROJECTS REGULATIONS ,1
EXCHANGE MEMBRANE REMISSION ORDER,1
EXCHANGE OF LETTERS,1
EXCHANGE OF LETTERS CONSTITUTING AN AGREEMENT ,1
EXCHANGE OF SERVICE AGREEMENT ,1
EXCHANGE OF STATISTICAL INFORMATION ,1
EXCHANGE RATE ,1
EXCHANGES OF NOTES ,1
EXCISE,1
EXCISE ,1
EXCISE ACT OMNIBUS AMENDMENT ORDER,1
EXCISE TAX,1
EXCLUDED,1
EXCLUSION APPROVAL ORDER FOR CERTAIN FORMER MANAGEMENT,1
EXCLUSION APPROVAL ORDER FOR CERTAIN PERSONS AND POSITIONS,1
EXCLUSION APPROVAL ORDERS ,1
EXCLUSION FROM PART ,1
EXCLUSION LIST REGULATIONS,1
EXCRETA,1
EXECUTIVE,1
EXEMPT CLASSES OF FOREIGN BANKS REGULATIONS,1
EXEMPTING CERTAIN PRECURSORS AND CONTROLLED SUBSTANCES FROM THE APPLICATION,1
EXEMPTION FROM THE APPLICATION OF SUBSECTION ,1
EXEMPTION REGULATIONS,1
EXERCISES ,1
EXETER,1
EXETER RAILWAY COMPANY ,1
EXETER RAILWAY COMPANY LIMITED ,1
EXHIBITION GRANTS REGULATIONS,1
EXILED PERSONS DESIGNATED CLASS REGULATIONS ,1
EXISTENCE,1
EXOTIKA OTTAWA INC,1
EXPAND THE INVESTMENT AUTHORITY OF THE INTERNATIONAL MONETARY FUND,1
EXPANSION AND CONSERVATION OF CANADA,1
EXPANSION PROGRAM,1
EXPERIENCING SERIOUS DROUGHT ,1
EXPERTS ON MISSIONS FOR THE ORGANIZATION FOR THE PROHIBITION OF CHEMICAL,1
EXPIRATION DATE FOR CERTAIN TECHNICAL STANDARDS DOCUMENTS,1
EXPIRY DATES FOR,1
EXPIRY OF SECTION ,1
EXPIRY OF THE APPLICATION OF SECTION ,1
EXPLOITATION OF THE DONKIN COAL BLOCK ,1
EXPLOITS REGIONAL CHAMBER OF COMMERCE,1
EXPLOSIVE SUBSTANCES AMNESTY PERIOD ORDER ,1
EXPLOSIVES ACT,1
EXPLOSIVES REGULATIONS USER FEES ,1
EXPO ,1
EXPORT AND IMPORT OF HAZARDOUS WASTE AND HAZARDOUS RECYCLABLE MATERIAL REGULATIONS ,1
EXPORT AND IMPORT OF HAZARDOUS WASTES REGULATIONS ,1
EXPORT CONTROL LIST NOTIFICATION REGULATIONS ,1
EXPORT DEVELOPMENT CORPORATION EXERCISE OF CERTAIN POWERS REGULATIONS,1
EXPORT LICENCE ISSUED TO WESTCOAST ENERGY MARKETING LTD,1
EXPORT OF SUBSTANCES ON THE EXPORT CONTROL LIST REGULATIONS ,1
EXPORT OF SUBSTANCES UNDER THE ROTTERDAM CONVENTION,1
EXPORTATION OF CERTAIN GOODS TO THE FEDERAL,1
EXPORTATION OF CERTAIN GOODS TO THE FEDERAL REPUBLIC OF,1
EXPORTED MOTOR VEHICLES DRAWBACK REGULATIONS ,1
EXPOSED AND PROCESSED FILM AND RECORDED VIDEO TAPE,1
EXPOSED MOTOR,1
EXPRESS ,1
EXPRESS ENTRY,1
EXPRESS PIPELINE,1
EXPRESS PIPELINE PROJECT,1
EXPRESS PIPELINES LIMITED ,1
EXPRO CHEMICAL PRODUCTS INC,1
EXPROPRIATION ACT,1
EXTEND ,1
EXTENDING ,1
EXTENDING THE EXPIRY DATE TO,1
EXTENDS ,1
EXTENSION OF GENERAL PREFERENTIAL TARIFF,1
EXTENSION OF GENERAL PREFERENTIAL TARIFF TO BURMA,1
EXTENSION OF GENERAL PREFERENTIAL TARIFF TO EAST TIMOR,1
EXTENSION OF GENERAL PREFERENTIAL TARIFF TO MONGOLIA,1
EXTENSION OF GENERAL PREFERENTIAL TARIFF TO SOUTH SUDAN,1
EXTENSION OF GENERAL PREFERENTIAL TARIFF TO THE SULTANATE OF OMAN,1
EXTENSION OF LEAST DEVELOPED COUNTRY TARIFF TO BURMA,1
EXTENSION OF LEAST DEVELOPED COUNTRY TARIFF TO EAST TIMOR,1
EXTENSION OF LEAST DEVELOPED COUNTRY TARIFF TO SENEGAL,1
EXTENSION OF LEAST DEVELOPED COUNTRY TARIFF TO SOUTH SUDAN,1
EXTENSION ORDER ,1
EXTERNAL AFFAIRS ,1
EXTERNAL RELATIONS ,1
EXTERNAL REVIEW COMMITEE,1
EXTRA FANCY ,1
EXTRA STRONG WHEAT ,1
EXTRADITION TREATY ,1
EXTRADITION TREATY WITH THE,1
EXTRAORDINARY,1
EXTRAORDINARY CONFERENCE ,1
EXXONMOBIL CANADA PROPERTIES ,1
EYFORD ,1
EZODZITI,1
FABBRO ,1
FABIEN,1
FACE PROTECTORS FOR ICE HOCKEY AND BOX LACROSSE PLAYERS REGULATIONS ,1
FACILITIES,1
FACILITIES AS ,1
FACILITIES REGULATIONS ,1
FACILITY,1
FACSIMILE MODEM REMISSION ORDER ,1
FACT FINDER ,1
FACTORING ENTITY REGULATIONS,1
FACTORY NATIONAL HISTORIC SITE,1
FACTUAL INQUIRY REPORT ,1
FADDEN ,1
FADGEN,1
FADYEN                    ,1
FAHIMEH MORTAZAVI,1
FAHIMEH MORTAZAVI ,1
FAIETA,1
FAIR AND EFFICIENT CRIMINAL TRIALS ACT ,1
FAIR ELECTIONS ACT,1
FAIR WAGES AND HOURS OF LABOUR REGULATIONS ,1
FAIRFORD BAND,1
FAIRFORD BAND OF,1
FAIRFORD BAND OF INDIANS,1
FAIRFORD BAND OF INDIANS ,1
FAIRHAVEN,1
FAIRNESS AT THE PUMPS ACT,1
FAIRVIEW,1
FAIRWINDS DEVELOPMENT CORPORATION ,1
FAITH SCATTOLON ,1
FALCONBRIDGE LIMITED ,1
FALKINGHAM,1
FALKINGHAM          ,1
FALLS,1
FALLS CHAMBER OF COMMERCE,1
FAMILIES DUTY AND TAX RELIEF PRIVILEGES ORDER ,1
FAMILY JUSTICE SERVICES WESTERN,1
FAMILY OF EACH VICTIM OF THE AIR INDIA FLIGHT ,1
FAMILY ORDERS AND AGREEMENTS ENFORCEMENT,1
FAMILY ORDERS AND AGREEMENTS ENFORCEMENT ASSISTANCE ACT ,1
FAMILY SUPPORT ORDERS AND AGREEMENTS GARNISHMENT REGULATIONS,1
FAMOKARANA ZEZIKA TOAMASINA ,1
FAMOXADONE,1
FANCY GRADE APPLES ,1
FANNIE ,1
FANNIE JANE HUDSON ,1
FANOS ,1
FAOUR ,1
FARAH BAKSH ,1
FARBER ,1
FAREED AHMED ,1
FARID OSMANE ,1
FARINON CANADA INC,1
FARLAND,1
FARLAND ,1
FARLANE ,1
FARLEY,1
FARM DEBT REVIEW BOARD ,1
FARM DEBT REVIEW BOARDS,1
FARM DEBT REVIEW FUND ,1
FARM EQUIPMENT INCOME TAX AND CANADA PENSION PLAN CONTRIBUTIONS REMISSION,1
FARM IMPROVEMENT AND MARKETING COOPERATIVES LOANS AND FEES,1
FARM IMPROVEMENT AND MARKETING COOPERATIVES LOANS AND FEES REGULATIONS,1
FARM INCOME,1
FARM INCOME DISASTER PROGRAM,1
FARM INCOME PAYMENT PROGRAM ,1
FARM INCOME PROTECTION ACT,1
FARMERS ALFALFA PRODUCTS LTD,1
FARMS LTD,1
FARO AIRPORT ZONING REGULATIONS ,1
FARQUHAR,1
FARRELL ,1
FARRELL       ,1
FARRIS ,1
FARVOLDEN,1
FAS,1
FAST,1
FASTER REMOVAL OF FOREIGN CRIMINALS ACT,1
FASTER REMOVAL OF FOREIGN CRIMINALS ACT ,1
FATIMA AIRTH ,1
FATIMA KAPASI,1
FAULKNER,1
FAUSTIN,1
FAXON CANADA LTD,1
FAY ANN MACDONELL,1
FAY ORR ,1
FAYE ,1
FAYE ACKERMANS ,1
FCAC,1
FCF ,1
FCS,1
FDA ,1
FDB ,1
FEAGAN,1
FEDAK,1
FEDERAL ACCOUNTABILITY ACT,1
FEDERAL BRIDGE CORPORATION LIMITED,1
FEDERAL BUILDINGS INITIATIVE,1
FEDERAL CONTRIBUTION TO THE QUEBEC FARM INCOME STABILIZATION INSURANCE,1
FEDERAL COURT,1
FEDERAL COURT IMMIGRATION AND REFUGEE PROTECTION RULES ,1
FEDERAL COURT OF,1
FEDERAL COURTS IMMIGRATION AND REFUGEE PROTECTION RULES ,1
FEDERAL COURTS OF CANADA ,1
FEDERAL CREDIT UNION CONVERSION REGULATIONS ,1
FEDERAL CROWN CORPORATIONS,1
FEDERAL ECONOMIC DEVELOPMENT,1
FEDERAL ELECTORAL,1
FEDERAL HALOCARBON REGULATIONS,1
FEDERAL HALOCARBON REGULATIONS ,1
FEDERAL IMMOVABLES ,1
FEDERAL INTERLOCUTOR ,1
FEDERAL LABOUR FORCE DEVELOPMENT PROGRAMS,1
FEDERAL NORTHERN ONTARIO DEVELOPMENT BOARD ,1
FEDERAL PROVINCIAL AGREEMENT ,1
FEDERAL PROVINCIAL AGREEMENT ESTABLISHING THE,1
FEDERAL PROVINCIAL FISCAL ARRANGEMENTS REGULATIONS,1
FEDERAL REAL PROPERTY REGULATIONS,1
FEDERAL REFERENDUM FEES TARIFF,1
FEDERAL REPUBLIC OF,1
FEDERAL REPUBLIC OF GERMANY ,1
FEDERAL REPUBLIC OF NIGERIA ,1
FEDERAL REPUBLIC OF NIGERIA FOR THE PROMOTION AND PROTECTION OF INVESTMENTS,1
FEDERAL REPUBLIC OF YUGOSLAVIA ,1
FEDERATED PIPE LINES,1
FÉDÉRATION DES,1
FEDERATION GROUP INSURANCE TRUSTEE,1
FÉDÉRATION INTERNATIONALE DE NATATION,1
FEDERATION OF CANADIAN MUNICIPALITIES,1
FEDERATION OF NUNAVUT,1
FEDERATION OF SAINT CHRISTOPHER ,1
FEDERATION OF SAINT KITTS AND NEVIS,1
FEDERATION OF SASKATCHEWAN INDIAN NATIONS ,1
FEE,1
FEED,1
FEENEY,1
FEES FOR DOCUMENTS REGULATIONS ,1
FEES FOR THE REPLACEMENT OF PERMANENT RESIDENT CARDS ,1
